,city,id_city,rain,pop,pressure,humidity,dt,dt_normal
0,Mont Saint Michel,0,1.9,0.96,1010,68,1653393600,2022-05-24 12:00:00
1,Mont Saint Michel,0,0.0,0.06,1019,60,1653480000,2022-05-25 12:00:00
2,Mont Saint Michel,0,0.0,0.0,1027,67,1653566400,2022-05-26 12:00:00
3,Mont Saint Michel,0,0.0,0.0,1028,64,1653652800,2022-05-27 12:00:00
4,Mont Saint Michel,0,0.0,0.0,1026,45,1653739200,2022-05-28 12:00:00
5,Mont Saint Michel,0,0.0,0.0,1022,60,1653825600,2022-05-29 12:00:00
6,Mont Saint Michel,0,0.0,0.0,1022,46,1653912000,2022-05-30 12:00:00
7,St Malo,1,0.58,0.87,1010,68,1653393600,2022-05-24 12:00:00
8,St Malo,1,0.0,0.08,1019,69,1653480000,2022-05-25 12:00:00
9,St Malo,1,0.0,0.0,1027,74,1653566400,2022-05-26 12:00:00
10,St Malo,1,0.0,0.0,1028,77,1653652800,2022-05-27 12:00:00
11,St Malo,1,0.0,0.0,1027,60,1653739200,2022-05-28 12:00:00
12,St Malo,1,0.0,0.0,1023,72,1653825600,2022-05-29 12:00:00
13,St Malo,1,0.0,0.0,1023,55,1653912000,2022-05-30 12:00:00
14,Bayeux,2,0.55,0.68,1009,71,1653390000,2022-05-24 11:00:00
15,Bayeux,2,0.0,0.0,1018,59,1653476400,2022-05-25 11:00:00
16,Bayeux,2,0.0,0.0,1025,63,1653566400,2022-05-26 12:00:00
17,Bayeux,2,0.0,0.0,1028,58,1653652800,2022-05-27 12:00:00
18,Bayeux,2,0.0,0.0,1027,57,1653739200,2022-05-28 12:00:00
19,Bayeux,2,0.0,0.0,1024,61,1653825600,2022-05-29 12:00:00
20,Bayeux,2,0.0,0.0,1024,59,1653912000,2022-05-30 12:00:00
21,Le Havre,3,2.06,0.66,1008,75,1653390000,2022-05-24 11:00:00
22,Le Havre,3,0.0,0.0,1018,67,1653476400,2022-05-25 11:00:00
23,Le Havre,3,0.0,0.0,1026,78,1653562800,2022-05-26 11:00:00
24,Le Havre,3,0.0,0.0,1028,65,1653649200,2022-05-27 11:00:00
25,Le Havre,3,0.0,0.0,1027,62,1653735600,2022-05-28 11:00:00
26,Le Havre,3,0.0,0.0,1024,62,1653822000,2022-05-29 11:00:00
27,Le Havre,3,0.0,0.0,1024,56,1653908400,2022-05-30 11:00:00
28,Rouen,4,1.63,0.9,1007,65,1653390000,2022-05-24 11:00:00
29,Rouen,4,0.0,0.0,1018,60,1653476400,2022-05-25 11:00:00
30,Rouen,4,0.0,0.0,1025,67,1653562800,2022-05-26 11:00:00
31,Rouen,4,0.1,0.2,1026,51,1653649200,2022-05-27 11:00:00
32,Rouen,4,0.0,0.0,1026,50,1653735600,2022-05-28 11:00:00
33,Rouen,4,0.0,0.0,1024,63,1653822000,2022-05-29 11:00:00
34,Rouen,4,0.0,0.0,1023,56,1653908400,2022-05-30 11:00:00
35,Paris,5,0.41,0.87,1009,60,1653390000,2022-05-24 11:00:00
36,Paris,5,0.0,0.0,1018,41,1653476400,2022-05-25 11:00:00
37,Paris,5,0.0,0.0,1025,47,1653562800,2022-05-26 11:00:00
38,Paris,5,0.0,0.0,1025,41,1653649200,2022-05-27 11:00:00
39,Paris,5,0.0,0.0,1025,33,1653735600,2022-05-28 11:00:00
40,Paris,5,0.0,0.0,1022,40,1653822000,2022-05-29 11:00:00
41,Paris,5,0.0,0.0,1021,38,1653908400,2022-05-30 11:00:00
42,Amiens,6,2.68,0.92,1008,74,1653390000,2022-05-24 11:00:00
43,Amiens,6,0.0,0.0,1017,57,1653476400,2022-05-25 11:00:00
44,Amiens,6,0.0,0.0,1025,62,1653562800,2022-05-26 11:00:00
45,Amiens,6,0.0,0.0,1026,51,1653649200,2022-05-27 11:00:00
46,Amiens,6,0.0,0.0,1025,52,1653735600,2022-05-28 11:00:00
47,Amiens,6,0.0,0.0,1023,49,1653822000,2022-05-29 11:00:00
48,Amiens,6,0.0,0.0,1023,58,1653908400,2022-05-30 11:00:00
49,Lille,7,2.02,0.89,1006,74,1653390000,2022-05-24 11:00:00
50,Lille,7,0.0,0.04,1016,49,1653476400,2022-05-25 11:00:00
51,Lille,7,0.0,0.0,1023,54,1653562800,2022-05-26 11:00:00
52,Lille,7,0.0,0.0,1025,39,1653649200,2022-05-27 11:00:00
53,Lille,7,0.0,0.0,1025,45,1653735600,2022-05-28 11:00:00
54,Lille,7,0.0,0.0,1023,43,1653822000,2022-05-29 11:00:00
55,Lille,7,0.49,0.22,1022,46,1653908400,2022-05-30 11:00:00
56,Strasbourg,8,0.8,0.61,1010,54,1653390000,2022-05-24 11:00:00
57,Strasbourg,8,0.0,0.0,1017,46,1653476400,2022-05-25 11:00:00
58,Strasbourg,8,0.0,0.0,1024,53,1653562800,2022-05-26 11:00:00
59,Strasbourg,8,0.0,0.0,1022,59,1653649200,2022-05-27 11:00:00
60,Strasbourg,8,0.0,0.0,1022,39,1653735600,2022-05-28 11:00:00
61,Strasbourg,8,0.0,0.0,1018,38,1653822000,2022-05-29 11:00:00
62,Strasbourg,8,0.13,0.32,1018,42,1653908400,2022-05-30 11:00:00
63,Chateau du Haut Koenigsbourg,9,0.16,0.6,1010,52,1653390000,2022-05-24 11:00:00
64,Chateau du Haut Koenigsbourg,9,0.0,0.0,1017,45,1653476400,2022-05-25 11:00:00
65,Chateau du Haut Koenigsbourg,9,0.0,0.0,1025,52,1653562800,2022-05-26 11:00:00
66,Chateau du Haut Koenigsbourg,9,0.0,0.0,1022,44,1653649200,2022-05-27 11:00:00
67,Chateau du Haut Koenigsbourg,9,0.0,0.0,1021,35,1653735600,2022-05-28 11:00:00
68,Chateau du Haut Koenigsbourg,9,0.0,0.06,1017,36,1653822000,2022-05-29 11:00:00
69,Chateau du Haut Koenigsbourg,9,0.0,0.22,1018,41,1653908400,2022-05-30 11:00:00
70,Colmar,10,0.0,0.63,1010,51,1653390000,2022-05-24 11:00:00
71,Colmar,10,0.0,0.0,1017,46,1653476400,2022-05-25 11:00:00
72,Colmar,10,0.0,0.0,1024,52,1653562800,2022-05-26 11:00:00
73,Colmar,10,0.0,0.0,1021,40,1653649200,2022-05-27 11:00:00
74,Colmar,10,0.0,0.0,1021,38,1653735600,2022-05-28 11:00:00
75,Colmar,10,0.0,0.06,1017,36,1653822000,2022-05-29 11:00:00
76,Colmar,10,0.0,0.3,1017,42,1653908400,2022-05-30 11:00:00
77,Eguisheim,11,0.0,0.63,1010,51,1653390000,2022-05-24 11:00:00
78,Eguisheim,11,0.0,0.0,1017,45,1653476400,2022-05-25 11:00:00
79,Eguisheim,11,0.0,0.0,1024,51,1653562800,2022-05-26 11:00:00
80,Eguisheim,11,0.0,0.0,1021,37,1653649200,2022-05-27 11:00:00
81,Eguisheim,11,0.0,0.0,1021,37,1653735600,2022-05-28 11:00:00
82,Eguisheim,11,0.0,0.05,1017,36,1653822000,2022-05-29 11:00:00
83,Eguisheim,11,0.14,0.27,1017,41,1653908400,2022-05-30 11:00:00
84,Besancon,12,3.12,0.91,1012,30,1653390000,2022-05-24 11:00:00
85,Besancon,12,0.0,0.0,1018,48,1653476400,2022-05-25 11:00:00
86,Besancon,12,0.0,0.0,1025,54,1653562800,2022-05-26 11:00:00
87,Besancon,12,0.0,0.0,1023,53,1653649200,2022-05-27 11:00:00
88,Besancon,12,0.0,0.0,1021,35,1653735600,2022-05-28 11:00:00
89,Besancon,12,0.0,0.0,1017,40,1653822000,2022-05-29 11:00:00
90,Besancon,12,0.0,0.0,1016,40,1653908400,2022-05-30 11:00:00
91,Dijon,13,0.32,0.71,1012,54,1653390000,2022-05-24 11:00:00
92,Dijon,13,0.0,0.0,1018,50,1653476400,2022-05-25 11:00:00
93,Dijon,13,0.0,0.0,1025,60,1653562800,2022-05-26 11:00:00
94,Dijon,13,0.0,0.0,1024,50,1653649200,2022-05-27 11:00:00
95,Dijon,13,0.0,0.0,1022,41,1653735600,2022-05-28 11:00:00
96,Dijon,13,0.0,0.0,1018,41,1653822000,2022-05-29 11:00:00
97,Dijon,13,0.0,0.0,1017,40,1653908400,2022-05-30 11:00:00
98,Annecy,14,3.21,0.91,1012,79,1653390000,2022-05-24 11:00:00
99,Annecy,14,0.0,0.16,1016,47,1653476400,2022-05-25 11:00:00
100,Annecy,14,0.0,0.06,1023,49,1653562800,2022-05-26 11:00:00
101,Annecy,14,0.0,0.03,1021,43,1653649200,2022-05-27 11:00:00
102,Annecy,14,0.0,0.0,1017,33,1653735600,2022-05-28 11:00:00
103,Annecy,14,0.0,0.0,1014,36,1653822000,2022-05-29 11:00:00
104,Annecy,14,0.0,0.0,1013,34,1653908400,2022-05-30 11:00:00
105,Grenoble,15,0.84,0.75,1009,72,1653390000,2022-05-24 11:00:00
106,Grenoble,15,0.0,0.31,1015,49,1653476400,2022-05-25 11:00:00
107,Grenoble,15,0.0,0.18,1022,50,1653562800,2022-05-26 11:00:00
108,Grenoble,15,0.0,0.17,1020,49,1653649200,2022-05-27 11:00:00
109,Grenoble,15,0.0,0.04,1016,34,1653735600,2022-05-28 11:00:00
110,Grenoble,15,0.0,0.0,1013,37,1653822000,2022-05-29 11:00:00
111,Grenoble,15,0.0,0.0,1012,31,1653908400,2022-05-30 11:00:00
112,Lyon,16,0.0,0.16,1012,45,1653390000,2022-05-24 11:00:00
113,Lyon,16,0.0,0.0,1017,41,1653476400,2022-05-25 11:00:00
114,Lyon,16,0.0,0.0,1024,42,1653562800,2022-05-26 11:00:00
115,Lyon,16,0.0,0.0,1022,44,1653649200,2022-05-27 11:00:00
116,Lyon,16,0.0,0.0,1019,26,1653735600,2022-05-28 11:00:00
117,Lyon,16,0.0,0.0,1015,31,1653822000,2022-05-29 11:00:00
118,Lyon,16,0.0,0.0,1015,31,1653908400,2022-05-30 11:00:00
119,Verdon Gorge,17,0.0,0.15,1007,35,1653390000,2022-05-24 11:00:00
120,Verdon Gorge,17,0.77,0.39,1013,42,1653476400,2022-05-25 11:00:00
121,Verdon Gorge,17,0.97,0.55,1019,36,1653562800,2022-05-26 11:00:00
122,Verdon Gorge,17,1.81,0.45,1018,38,1653649200,2022-05-27 11:00:00
123,Verdon Gorge,17,0.0,0.07,1010,27,1653735600,2022-05-28 11:00:00
124,Verdon Gorge,17,0.9,0.28,1009,59,1653822000,2022-05-29 11:00:00
125,Verdon Gorge,17,0.0,0.24,1008,27,1653908400,2022-05-30 11:00:00
126,Bormes les Mimosas,18,0.0,0.03,1007,40,1653390000,2022-05-24 11:00:00
127,Bormes les Mimosas,18,0.26,0.33,1013,59,1653476400,2022-05-25 11:00:00
128,Bormes les Mimosas,18,0.0,0.09,1019,52,1653562800,2022-05-26 11:00:00
129,Bormes les Mimosas,18,0.0,0.18,1017,49,1653649200,2022-05-27 11:00:00
130,Bormes les Mimosas,18,0.0,0.0,1010,52,1653735600,2022-05-28 11:00:00
131,Bormes les Mimosas,18,0.0,0.08,1010,63,1653822000,2022-05-29 11:00:00
