ville,lat,lon,jour_+x,temperature_ressentie,probabilite_de_pluie,meteo_principale,score
Mont Saint Michel,48.6359541,-1.511459954959514,"[1, 2, 3, 4, 5, 6, 7]","[17, 20, 20, 17, 19, 21, 19]","[52, 0, 15, 62, 37, 0, 0]","['Rain', 'Clouds', 'Clouds', 'Rain', 'Rain', 'Clouds', 'Clear']",16
St Malo,48.649518,-2.0260409,"[1, 2, 3, 4, 5, 6, 7]","[15, 19, 18, 16, 16, 20, 17]","[47, 0, 9, 53, 48, 0, 0]","['Rain', 'Clouds', 'Clouds', 'Rain', 'Rain', 'Clouds', 'Clouds']",15
Bayeux,49.2764624,-0.7024738,"[1, 2, 3, 4, 5, 6, 7]","[17, 20, 21, 14, 19, 22, 20]","[65, 0, 38, 71, 46, 0, 0]","['Rain', 'Clouds', 'Clouds', 'Rain', 'Rain', 'Clouds', 'Clouds']",15
Le Havre,49.4938975,0.1079732,"[1, 2, 3, 4, 5, 6, 7]","[17, 18, 19, 14, 17, 18, 16]","[32, 0, 60, 98, 50, 0, 0]","['Clear', 'Clouds', 'Rain', 'Rain', 'Rain', 'Clouds', 'Clear']",13
Rouen,49.4404591,1.0939658,"[1, 2, 3, 4, 5, 6, 7]","[19, 22, 22, 16, 18, 21, 21]","[24, 0, 18, 100, 70, 0, 0]","['Clear', 'Clouds', 'Clouds', 'Rain', 'Rain', 'Clouds', 'Clear']",16
Paris,48.8588897,2.3200410217200766,"[1, 2, 3, 4, 5, 6, 7]","[21, 23, 24, 22, 20, 23, 24]","[2, 0, 0, 81, 61, 0, 0]","['Clouds', 'Clouds', 'Clouds', 'Rain', 'Rain', 'Clouds', 'Clear']",20
Amiens,49.8941708,2.2956951,"[1, 2, 3, 4, 5, 6, 7]","[20, 22, 23, 15, 18, 21, 21]","[37, 0, 0, 96, 86, 0, 0]","['Clouds', 'Clear', 'Clouds', 'Rain', 'Rain', 'Clouds', 'Clear']",16
Lille,50.6365654,3.0635282,"[1, 2, 3, 4, 5, 6, 7]","[20, 22, 24, 19, 20, 21, 22]","[57, 0, 0, 61, 94, 0, 0]","['Rain', 'Clear', 'Clouds', 'Rain', 'Rain', 'Clouds', 'Clouds']",18
Strasbourg,48.584614,7.7507127,"[1, 2, 3, 4, 5, 6, 7]","[19, 23, 23, 29, 15, 24, 28]","[100, 16, 20, 21, 100, 20, 0]","['Rain', 'Clouds', 'Clouds', 'Clear', 'Rain', 'Rain', 'Clear']",19
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,"[1, 2, 3, 4, 5, 6, 7]","[15, 20, 22, 26, 12, 21, 26]","[100, 2, 18, 60, 100, 20, 0]","['Rain', 'Clouds', 'Clouds', 'Clear', 'Rain', 'Rain', 'Clear']",16
